PI,Phenotype
PI_548477,1
Su_Nong_No_14,NA
PI_547680,1
Zhong_Huang_No_31,NA
PI_591431,1
Dong_Nong_No_51,NA
Shu_Xian_No_205,NA
Fen_Dou_No_89,NA
PI_542403,1
Fen_Dou_No_63,NA
Tie_Feng_No_22,NA
HN001_PI518664,2
HN005_PI404166,1
HN006_PI407788A,1
HN007_PI424298,1
HN008_PI437655,1
HN009_PI495017C,1
HN010_PI468915,1
HN011_PI507354,1
HN012_PI567305,1
HN013_S05-11482,NA
HN014_PI548667,1
HN016_PI567387,1
HN017B_PI437725,1
HN018_PI437690,2
HN022_PI404198B,1
HN023_PI424608A,1
HN025_PI567516C,1
HN026_PI612611,1
HN027_S10-11227,NA
HN028_Holladay,NA
HN029_IA3023,NA
HN030_Maverick,NA
HN031_PI079691_4,NA
HN032_PI086006,NA
HN033_PI087617,NA
HN034_PI087631_1,NA
HN035_PI196175,1
HN036_PI200471,1
HN037_PI200508,1
HN038_PI248515,2
HN039_PI366121,1
HN040_PI378702,1
HN041_PI398593,1
HN042_PI398595,1
HN043_PI398610,1
HN044_PI398614,1
HN045_PI407162,1
HN046_PI407184,1
HN047_PI407729,2
HN048_PI407965,1
HN049_PI408105A,1
HN050_PI416937,1
HN052_PI424079,1
HN053_PI424088,1
HN054_PI437169B,1
HN056_PI437863A,2
HN057_PI438258,1
HN058_PI458515,2
HN059_PI464920B,2
HN060_PI467312,1
HN061_PI471938,1
HN062_PI475783B,1
HN063_PI483463,1
HN064_PI518751,1
HN065_PI542044,2
HN066_PI547862,2
HN067_PI548317,1
HN068_PI548349,1
HN069_PI548415,1
HN070_PI548511,1
HN071_PI548657,2
HN072_PI549031,1
HN073_PI552538,1
HN074_PI561271,2
HN075_PI567230,1
HN076_PI567336B,1
HN078_PI567354,2
HN079_PI567357,2
HN081_PI567519,2
HN082_PI567611,2
HN083_PI567651,2
HN084_PI567690,1
HN085_PI567719,2
HN086_PI567731,NA
HN087_PI591539,2
HN088_PI593258,2
HN089_PI594012,2
HN090_PI594512A,1
HN091_PI594599,1
HN092_PI597387,1
HN093_PI603154,2
HN094_PI603170,1
HN095_PI603175,1
HN096_PI603176A,1
HN098_PI605869A,1
HN099_PI639740,NA
HN100_PI647086,NA
HN101_PI658519,NA
HN102_S07-5049,NA
HN103_V71-370,NA
HN104_FC031721,NA
HN105_PI438471,1
HN106_PI417091,1
HN107_PI417015,NA
HN108_PI229343,2
SJ-01_PI378684A,1
SJ-02_PI378696A,1
SJ-03_PI378698,1
SJ-04_PI407083,1
SJ-05_PI407270,1
SJ-06_PI407281,1
SJ-07_PI407286,1
SJ-08_PI407303,1
SJ-09_PI407307,1
SJ-10_PI407308,1
SJ-11_PI407315,1
SJ-12_PI424008A,1
SJ-13_PI468918,1
SJ-14_PI507609,1
SJ-15_PI507619B,1
SJ-16_PI507667,1
SJ-17_PI507752,1
SJ-18_PI507830B,1
SJ-19_PI532450,1
SJ-20_PI549047,1
SJ-21_PI549048,1
SJ-22_PI562558,NA
SJ-23_PI562568,NA
SJ-24_PI597458B,NA
SJ-26_PI597471D,NA
SJ-27_PI639586,NA
SJ-28_PI639590A,NA
SJ-29_PI639590B,NA
SJ-30_PI639621,NA
SJ-31_PI507847,1
SJ-32_PI424014,1
SJ-33_PI424107A,1
SJ-34_PI407175,1
SJ-36_PI507615,1
SJ-37_PI562557,NA
SJ-38_PI378699A,1
SJ-39_PI407262,1
SJ-40_PI562534,NA
SJ-41_PI407183,1
SJ-42_PI407038,1
SJ-43_PI407318A,1
SJ-44_PI407229,1
SJ-45_PI507638,1
USB-001_PI548656,1
USB-002_FC033243,NA
USB-003_PI081785,NA
USB-004_PI166105,1
USB-005_PI180501,1
USB-006_PI240664,1
