PI,Pheno
Su_Nong_No_33,NA
PI_634883,NA
Fen_Dou_No_79,NA
Jin_Da_No_52,NA
He_Feng_No_23,NA
PI_591511,NA
Fen_Dou_No_88,NA
PI_513382,NA
Liao_Dou_No_3,NA
FC_33243,NA
PI_548985,NA
PI_548477,NA
Su_Nong_No_14,NA
PI_547680,NA
Zhong_Huang_No_31,NA
PI_591431,NA
Dong_Nong_No_51,NA
Shu_Xian_No_205,NA
Fen_Dou_No_89,NA
PI_542403,2
Fen_Dou_No_63,NA
Tie_Feng_No_22,NA
HN001_PI518664,2
HN005_PI404166,NA
HN006_PI407788A,2
HN007_PI424298,2
HN008_PI437655,2
HN009_PI495017C,NA
HN010_PI468915,2
HN011_PI507354,NA
HN012_PI567305,2
HN013_S05-11482,NA
HN014_PI548667,2
HN016_PI567387,2
HN017B_PI437725,2
HN018_PI437690,NA
HN022_PI404198B,2
HN023_PI424608A,2
HN025_PI567516C,2
HN026_PI612611,2
HN027_S10-11227,NA
HN028_Holladay,NA
HN029_IA3023,NA
HN030_Maverick,NA
HN031_PI079691_4,NA
HN032_PI086006,NA
HN033_PI087617,NA
HN034_PI087631_1,NA
HN035_PI196175,NA
HN036_PI200471,NA
HN037_PI200508,1
HN038_PI248515,1
HN039_PI366121,NA
HN040_PI378702,NA
HN041_PI398593,NA
HN042_PI398595,NA
HN043_PI398610,NA
HN044_PI398614,NA
HN045_PI407162,NA
HN046_PI407184,NA
HN047_PI407729,2
HN048_PI407965,NA
HN049_PI408105A,2
HN050_PI416937,NA
HN052_PI424079,NA
HN053_PI424088,NA
HN054_PI437169B,2
HN056_PI437863A,2
HN057_PI438258,2
HN058_PI458515,NA
HN059_PI464920B,2
HN060_PI467312,NA
HN061_PI471938,2
HN062_PI475783B,NA
HN063_PI483463,NA
HN064_PI518751,2
HN065_PI542044,2
HN066_PI547862,NA
HN067_PI548317,NA
HN068_PI548349,NA
HN069_PI548415,NA
HN070_PI548511,2
HN071_PI548657,2
HN072_PI549031,NA
HN073_PI552538,2
HN074_PI561271,NA
HN075_PI567230,NA
HN076_PI567336B,2
HN078_PI567354,2
HN079_PI567357,2
HN081_PI567519,NA
HN082_PI567611,2
HN083_PI567651,NA
HN084_PI567690,NA
HN085_PI567719,NA
HN086_PI567731,2
HN087_PI591539,NA
HN088_PI593258,2
HN089_PI594012,NA
HN090_PI594512A,NA
HN091_PI594599,2
HN092_PI597387,2
HN093_PI603154,2
HN094_PI603170,2
HN095_PI603175,2
HN096_PI603176A,2
HN098_PI605869A,NA
HN099_PI639740,NA
HN100_PI647086,NA
HN101_PI658519,NA
HN102_S07-5049,NA
HN103_V71-370,NA
HN104_FC031721,NA
HN105_PI438471,NA
HN106_PI417091,2
HN107_PI417015,NA
HN108_PI229343,1
SJ-01_PI378684A,NA
SJ-02_PI378696A,NA
SJ-03_PI378698,NA
SJ-04_PI407083,NA
SJ-05_PI407270,NA
SJ-06_PI407281,NA
SJ-07_PI407286,NA
SJ-08_PI407303,NA
SJ-09_PI407307,NA
SJ-10_PI407308,NA
SJ-11_PI407315,NA
SJ-12_PI424008A,NA
SJ-13_PI468918,NA
SJ-14_PI507609,NA
SJ-15_PI507619B,NA
SJ-16_PI507667,NA
SJ-17_PI507752,NA
SJ-18_PI507830B,NA
SJ-19_PI532450,NA
SJ-20_PI549047,NA
SJ-21_PI549048,NA
SJ-22_PI562558,NA
SJ-23_PI562568,NA
SJ-24_PI597458B,NA
SJ-26_PI597471D,NA
SJ-27_PI639586,NA
SJ-28_PI639590A,NA
SJ-29_PI639590B,NA
SJ-30_PI639621,NA
SJ-31_PI507847,NA
SJ-32_PI424014,NA
SJ-33_PI424107A,NA
SJ-34_PI407175,NA
SJ-36_PI507615,NA
SJ-37_PI562557,NA
SJ-38_PI378699A,NA
SJ-39_PI407262,NA
SJ-40_PI562534,NA
SJ-41_PI407183,NA
SJ-42_PI407038,NA
SJ-43_PI407318A,NA
SJ-44_PI407229,NA
SJ-45_PI507638,NA
USB-001_PI548656,2
USB-002_FC033243,NA
USB-003_PI081785,NA
USB-004_PI166105,2
USB-005_PI180501,NA
